Terzaghi,Meyerhof,Vesic,Hansen
850.4050909,1513.811385,1093.037102,1093.037102
144.0376473,362.1955685,330.8177025,296.8293646
74.25947638,534.7703666,230.6125797,169.3966107
379.0243493,228.8400717,127.6855851,94.67635904
517.1198577,647.871552,648.8068353,604.5190394
159.4739435,134.8510102,137.3318035,124.0481135
198.1969581,404.3852872,378.9193176,336.3240063
369.1386762,11.55920246,7.179001543,4.938844283
360.9957192,171.1265173,73.79602549,54.20691542
511.3456825,213.9081466,92.24503186,67.75864427
851.9784403,995.9463682,848.203786,736.9703612
200.5128804,712.9296125,656.1763961,523.9547221
348.2907002,1019.916967,418.1570685,308.2249124
496.0134161,32.09058665,34.45244955,29.1882193
133.2099128,313.3739902,295.7388751,250.2247217
514.0443785,2164.670487,1809.541456,1662.965248
77.24557897,268.8922659,197.4376906,179.3323805
1609.272,1795.126907,1372.562595,1194.571288
92.27403448,297.2889572,277.667506,249.5036903
297.781607,172.1272572,74.22758119,54.52391492
81.9611647,410.11,351.2799195,333.1746094
279.2602647,537.6387595,543.932564,494.4187249
339.3849577,218.4986645,116.1670558,83.15782981
379.0243493,187.1577391,154.8894078,110.8771064
158.5575665,178.0278391,176.442173,126.8214013
442.9664114,93.06177968,41.43647378,30.35775242
766.0819021,779.688,731.0315561,664.3540672
